,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
613,CHEMBL5416701,CC[C@H](C)[C@@H](C(=O)NCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,active,865.4510000000004,1.7233000000000096,8.0,10.0,6.638272163982407
614,CHEMBL5396642,CC[C@H](C)[C@@H](C(=O)NCCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,active,879.4780000000003,2.1134000000000093,8.0,10.0,6.7447274948966935
615,CHEMBL5413121,CC[C@H](C)[C@@H](C(=O)NCCCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,active,893.5050000000002,2.503500000000008,8.0,10.0,6.585026652029182
616,CHEMBL5418691,CC[C@H](C)[C@@H](C(=O)NCCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1)C(=O)O,active,888.0580000000002,0.5589000000000102,9.0,11.0,6.3872161432802645
617,CHEMBL5399181,CC[C@H](C)[C@@H](C(=O)NCCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CNCCN1C(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,active,891.4890000000003,2.0802000000000094,7.0,10.0,7.107905397309519
618,CHEMBL5418885,CC[C@H](C)[C@@H](C(=O)NCCCCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H]1C[C@H](N)CN1C(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1)C(=O)O,active,900.0690000000002,0.6535000000000115,8.0,11.0,6.795880017344075
619,CHEMBL5412341,CC(C)C[C@H](NC(=O)[C@@H]1C[C@H](N)CN1C(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1)C(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)NCCCCC(N)=O,active,916.0239999999995,-0.5277999999999929,9.0,12.0,6.6020599913279625
620,CHEMBL5398498,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)CC[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1)C(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)NCCCCC(N)=O,active,901.0089999999997,0.535000000000008,8.0,11.0,7.2839966563652006
621,CHEMBL5436337,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,421.50000000000017,3.1610200000000015,2.0,7.0,7.853871964321762
622,CHEMBL5429762,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCF)nn4)s3)no2)cc1)C(=O)O,active,548.6220000000003,3.3945000000000016,2.0,9.0,7.886056647693163
623,CHEMBL5428131,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCCCF)nn4)s3)no2)cc1)C(=O)O,active,576.6760000000004,4.174700000000003,2.0,9.0,7.5376020021010435
624,CHEMBL5401833,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(C)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,435.52700000000016,3.5032200000000016,1.0,7.0,7.431798275933005
625,CHEMBL5267731,CCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,active,449.55400000000014,3.893320000000003,1.0,7.0,7.236572006437063
626,CHEMBL5424250,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCF)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,467.5440000000002,3.842920000000003,1.0,7.0,7.443697499232712
627,CHEMBL5396285,CCCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,active,477.6080000000002,4.673520000000004,1.0,7.0,6.978810700930062
628,CHEMBL5406867,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCCCF)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,495.5980000000003,4.623120000000004,1.0,7.0,7.3872161432802645
629,CHEMBL5419103,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCCC(F)(F)F)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,531.5780000000002,5.215920000000004,1.0,7.0,6.785156151952302
630,CHEMBL5434496,CCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,active,463.58100000000013,4.283420000000003,1.0,7.0,7.585026652029182
631,CHEMBL5406674,CCCCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,active,491.6350000000002,5.063620000000005,1.0,7.0,6.790484985457369
632,CHEMBL5420372,CCCCCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,active,505.66200000000026,5.453720000000005,1.0,7.0,6.278189384787454
634,CHEMBL5438981,CCCCCCCCCCCCCCCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,inactive,645.9320000000001,9.35472,1.0,7.0,5.0
635,CHEMBL5395662,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(Cc4ccccc4)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,511.6250000000002,5.073620000000004,1.0,7.0,6.94692155651658
637,CHEMBL5430097,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCOCOCCCOCCN=[N+]=[N-])[C@@H](C(=O)O)C(C)C)cc3)n2)s1,active,622.7260000000005,4.581120000000004,1.0,11.0,6.739928612014925
640,CHEMBL5568549,C[C@H](C[C@H](COC(=O)CCC(=O)O)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,458.46700000000016,2.5168999999999997,4.0,7.0,8.585026652029182
641,CHEMBL5558206,C[C@H](C[C@H](CO)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,358.39400000000006,2.1012,4.0,5.0,8.455931955649724
644,CHEMBL5584155,CC(C)(C)[C@H](NC(=O)[C@H](Cc1ccncc1)NC(=O)CNC(=O)CC[C@H](NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)C(=O)O)C(=O)Nc1ccc(C(=O)N2CCC(C(=O)N[C@H](CCCCN)C(=O)N3CC[C@H](N)C3)CC2)cc1,active,1134.677,2.304400000000008,9.0,13.0,6.136677139879544
645,CHEMBL5633315,O=C(O)CC[C@H](NC(=O)Cc1ccc(Br)cc1)C(=O)NCc1ccc([N+](=O)[O-])cc1,inactive,478.2990000000002,2.5658000000000003,3.0,5.0,3.859115019734134
650,CHEMBL5976402,Cc1cc(COc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)ccn1,active,395.44000000000005,3.593720000000002,2.0,6.0,6.301029995663981
654,CHEMBL5903685,Cc1cccc(COc2ccc(Sc3ccoc3C3(C)NC(=O)NC3=O)cc2)c1,active,408.47900000000016,4.372820000000003,2.0,5.0,6.301029995663981
656,CHEMBL5834666,Cc1cccc(COc2ccc(Sc3ccoc3C3(CC(C)C)NC(=O)NC3=O)cc2)c1,active,450.56000000000023,5.399020000000004,2.0,5.0,6.301029995663981
657,CHEMBL5768277,CCCC1(c2occc2Sc2ccc(OCc3cccc(C)c3)cc2)NC(=O)NC1=O,active,436.5330000000001,5.153020000000005,2.0,5.0,6.301029995663981
658,CHEMBL6018170,Cc1cccc(COc2ccc(Sc3ccoc3C3(C(C)C)NC(=O)NC3=O)cc2)c1,active,436.5330000000002,5.008920000000003,2.0,5.0,6.301029995663981
663,CHEMBL6050044,NC(=O)c1cccc(COc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)c1,active,423.4500000000001,2.9892000000000003,3.0,6.0,6.301029995663981
668,CHEMBL6005340,O=C1NC(=O)C(c2occc2Sc2ccc(OCc3cccc(CO)c3)cc2)N1,active,410.45100000000014,3.382600000000001,3.0,6.0,6.301029995663981
669,CHEMBL5765816,O=C1NC(=O)C(c2occc2Sc2ccc(OCc3ccccc3CO)cc2)N1,active,410.45100000000014,3.382600000000001,3.0,6.0,6.301029995663981
670,CHEMBL6054861,O=C1NC(=O)C(c2occc2Sc2ccc(OCc3ccc(CO)cc3)cc2)N1,active,410.45100000000014,3.382600000000001,3.0,6.0,6.301029995663981
671,CHEMBL6020183,O=C1NC(=O)C(c2occc2Sc2ccc(OCc3cccc(O)c3)cc2)N1,active,396.4240000000001,3.595900000000002,3.0,6.0,6.301029995663981
672,CHEMBL5764784,Cc1cc(Sc2ccc(OCc3cccc(CO)c3)cc2)c(C2NC(=O)NC2=O)o1,active,424.47800000000007,3.6910200000000026,3.0,6.0,6.301029995663981
677,CHEMBL5931298,CCC1(c2occc2Sc2ccc(OCc3ccnc(C)c3)cc2)NC(=O)NC1=O,active,423.4940000000001,4.157920000000003,2.0,6.0,6.301029995663981
679,CHEMBL5969352,Cc1cc(C#Cc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)ccn1,active,389.4360000000001,3.4145200000000013,2.0,5.0,7.259637310505756
