molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL254006,O=C(OCc1cccc(C(F)(F)F)c1)c1cccc(=O)[nH]1,inactive,82000.0
CHEMBL253801,Cc1ccc(COC(=O)c2cccc(=O)[nH]2)cc1,inactive,69000.0
CHEMBL255051,O=C(OCCc1ccccc1)c1cccc(=O)[nH]1,inactive,68000.0
CHEMBL399070,O=C(OCc1ccccc1)c1cccc(=O)[nH]1,inactive,69000.0
CHEMBL254838,O=C(OC1CCCCC1)c1cccc(=O)[nH]1,inactive,71000.0
CHEMBL254837,CC#CCOC(=O)c1cccc(=O)[nH]1,inactive,71000.0
CHEMBL254627,CC(C)=CCOC(=O)c1cccc(=O)[nH]1,inactive,67000.0
CHEMBL251937,O=C(OC1CCC1)c1cccc(=O)[nH]1,inactive,51000.0
CHEMBL398450,O=C(OCc1cc(F)c(F)cc1F)c1cccc(=O)[nH]1,inactive,56000.0
CHEMBL400850,CCCCCCCn1cc(C2=NCCO2)nn1,inactive,150000.0
CHEMBL400357,c1ccc(Cn2nnc(Cc3cccnc3)n2)cc1,inactive,150000.0
CHEMBL402436,CSc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,540.0
CHEMBL403186,Cc1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,250.0
CHEMBL447787,CC(C)c1nc2ccccc2n1Cc1ccc(C(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,390.0
CHEMBL253275,O=C(N[C@@H]1CCOC[C@@H]1C(=O)NO)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)cc1,intermediate,8000.0
CHEMBL409536,O=C(OCc1ccccc1)c1cn2c(=O)n(Cc3ccccc3)c(=O)cc2s1,inactive,100000.0
CHEMBL270083,N[C@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,inactive,100000.0
CHEMBL270296,N[C@@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,inactive,100000.0
CHEMBL409536,O=C(OCc1ccccc1)c1cn2c(=O)n(Cc3ccccc3)c(=O)cc2s1,inactive,100000.0
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active,5.1
CHEMBL496942,Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,inactive,100000.0
CHEMBL253275,O=C(N[C@@H]1CCOC[C@@H]1C(=O)NO)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)cc1,intermediate,8000.0
CHEMBL508461,O=C(O)C[C@@H](NC(=O)c1cc(-c2ccc(-c3ccncc3)cc2)cs1)c1ccccc1,active,14.0
CHEMBL270083,N[C@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,inactive,100000.0
CHEMBL497985,CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,active,564.0
CHEMBL434567,COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,active,17.0
CHEMBL401435,COc1ccc(C2=NNC3(S2)C(=O)N(Cc2ccccc2)c2ccc(C)cc23)cc1,inactive,22000.0
