action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1420467,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '18.95', 'le': '0.36', 'lle': '2.82', 'sei': '9.91'}",CHEMBL179285,,CHEMBL179285,7.85,0,http://www.openphacts.org/units/Nanomolar,365375,=,1,1,=,,IC50,nM,,14.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.014
,,1420802,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccccc3)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '16.30', 'le': '0.31', 'lle': '2.26', 'sei': '15.39'}",CHEMBL368013,,CHEMBL368013,6.40,0,http://www.openphacts.org/units/Nanomolar,365267,=,1,1,=,,IC50,nM,,400.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.4
,,1420935,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '14.69', 'le': '0.29', 'lle': '0.71', 'sei': '9.90'}",CHEMBL367148,,CHEMBL367148,6.40,0,http://www.openphacts.org/units/Nanomolar,365309,=,1,1,=,,IC50,nM,,400.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.4
,,1421168,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '14.10', 'le': '0.28', 'lle': '2.40', 'sei': '9.62'}",CHEMBL181682,,CHEMBL181682,4.89,0,http://www.openphacts.org/units/Nanomolar,365321,=,1,1,=,,IC50,nM,,13000.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,13.0
,,1421169,[],CHEMBL831123,Inhibition of Matrix metalloprotease-12 in presence of 5 nM acetohydroximate,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '19.16', 'le': '0.38', 'lle': '4.15', 'sei': '13.07'}",CHEMBL181682,,CHEMBL181682,6.64,0,http://www.openphacts.org/units/Nanomolar,365321,=,1,1,=,,IC50,nM,,230.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.23
,,1421367,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4)cc3)cs2)cc1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '16.74', 'le': '0.32', 'lle': '0.69', 'sei': '12.91'}",CHEMBL179177,,CHEMBL179177,7.16,0,http://www.openphacts.org/units/Nanomolar,365356,=,1,1,=,,IC50,nM,,70.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.07
,,1421453,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '17.79', 'le': '0.34', 'lle': '3.46', 'sei': '12.85'}",CHEMBL182038,,CHEMBL182038,7.00,0,http://www.openphacts.org/units/Nanomolar,365294,=,1,1,=,,IC50,nM,,100.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.1
,,1421454,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '17.79', 'le': '0.34', 'lle': '3.46', 'sei': '12.85'}",CHEMBL182038,,CHEMBL182038,7.00,0,http://www.openphacts.org/units/Nanomolar,365294,=,1,1,=,,IC50,nM,,100.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.1
,,1421507,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4O)cc3)cs2)cc1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '16.13', 'le': '0.31', 'lle': '0.99', 'sei': '9.46'}",CHEMBL180762,,CHEMBL180762,7.16,0,http://www.openphacts.org/units/Nanomolar,365415,=,1,1,=,,IC50,nM,,70.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.07
,,1421882,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCN1CCOCC1)c1cc(-c2ccc(C3CCCCC3)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '15.90', 'le': '0.31', 'lle': '1.82', 'sei': '15.24'}",CHEMBL180875,,CHEMBL180875,6.34,0,http://www.openphacts.org/units/Nanomolar,365258,=,1,1,=,,IC50,nM,,460.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.46
,,1421917,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '16.01', 'le': '0.32', 'lle': '1.87', 'sei': '8.92'}",CHEMBL178652,,CHEMBL178652,6.75,0,http://www.openphacts.org/units/Nanomolar,365368,=,1,1,=,,IC50,nM,,180.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.18
,,1422044,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '12.06', 'le': '0.24', 'lle': '0.21', 'sei': '6.72'}",CHEMBL179287,,CHEMBL179287,5.08,0,http://www.openphacts.org/units/Nanomolar,365406,=,1,1,=,,IC50,nM,,8300.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,8.3
